,Game,Platform,Hours,earnings,whyplay,League,streams,Age,Work,Degree,Playstyle,SPIN_T,SWL_T,GAD_T,Social_Anxiety,Life_Satisfaction,Anxiety_Level,Narcissism,Residence,Birthplace,Residence_ISO3,Birthplace_ISO3
95,Starcraft 2,PC,8.0,I play for fun,winning,Diamond,20.0,20,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,16.0,18,5,None,Slightly Satisfied,Mild Anxiety,2.0,Germany,Germany,DEU,DEU
102,League of Legends,PC,12.0,I play for fun,winning,Gold,5.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,50.0,8,13,Severe,Extremely Satisfied,Moderate Anxiety,2.0,UK,UK,GBR,GBR
118,League of Legends,PC,30.0,I play for fun,having fun,Gold,15.0,18,Student at school,High school diploma (or equivalent),Singleplayer,40.0,9,3,Moderate,Extremely Satisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
129,League of Legends,PC,40.0,I play for fun,having fun,Diamond,15.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,7.0,27,11,None,Dissatisfied,Moderate Anxiety,2.0,Norway,Norway,NOR,NOR
165,League of Legends,PC,20.0,I play for fun,having fun,Gold,10.0,23,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,8.0,30,4,None,Dissatisfied,Minimal Anxiety,4.0,Germany,Italy,DEU,ITA
169,League of Legends,PC,13.0,I play for fun,winning,Gold,10.0,18,Student at school,None,Multiplayer - online - with real life friends,22.0,20,9,Mild,Neutral,Mild Anxiety,3.0,Canada,Canada,CAN,CAN
170,League of Legends,PC,20.0,I play for fun,improving,Gold,30.0,18,Student at school,None,Multiplayer - online - with real life friends,26.0,17,4,Mild,Slightly Satisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
173,League of Legends,PC,7.0,I play for fun,improving,Platinum,0.0,19,Student at college / university,None,Multiplayer - online - with real life friends,9.0,18,5,None,Slightly Satisfied,Mild Anxiety,2.0,Unknown,Unknown,,
186,League of Legends,PC,50.0,I play for fun,improving,Silver,10.0,18,Student at school,None,Multiplayer - online - with real life friends,21.0,25,8,Mild,Slightly Dissatisfied,Mild Anxiety,2.0,USA,USA,USA,USA
197,League of Legends,PC,10.0,I play for fun,improving,Diamond,30.0,20,Student at college / university,Master (or equivalent),Multiplayer - online - with strangers,20.0,18,7,None,Slightly Satisfied,Mild Anxiety,3.0,Spain,Spain,ESP,ESP
221,League of Legends,PC,14.0,I play for fun,improving,Platinum,12.0,18,Student at school,None,Multiplayer - online - with real life friends,22.0,15,1,Mild,Slightly Satisfied,Minimal Anxiety,2.0,Denmark,Denmark,DNK,DNK
227,Starcraft 2,PC,20.0,I play for fun,improving,Gold,20.0,25,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,18.0,23,6,None,Slightly Dissatisfied,Mild Anxiety,1.0,Germany,Germany,DEU,DEU
